Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
Jansen B,12,143.016666667,10,4,118,12,34,32,30,4,3,90,6.12779775281,0,0,1,4,0,7,0,Cincinnati Revolution2015  
Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
,1,5.76666666667,1,0,17,15,0,173,0,0,0,0,0,0,0,0,173,0,0,0,Los Angeles Aviators2016  
Bacon T,6,181.933333333,71,50,45,10,170,172,156,8,18,9,6.579,0,0,0,22,1,2,0,Los Angeles Aviators2016  
Carlis S,5,61.4,6,2,49,12,12,11,11,1,0,0,0,0,0,0,3,0,0,0,Los Angeles Aviators2016  
Steine M,13,254.816666667,38,18,158,44,125,124,113,9,10,4,6.333,0,0,0,15,5,1,0,Los Angeles Aviators2016  
Boyd G,13,335.366666667,177,120,28,10,257,251,221,14,15,1,0,0,0,0,15,1,0,0,Los Angeles Aviators2016  
Carneg H,10,261.566666667,107,71,66,17,135,113,112,22,9,0,0,0,0,0,12,1,0,0,Los Angeles Aviators2016  
Theodo Z,12,222.3,47,21,137,30,81,71,64,13,7,0,0,0,0,0,5,1,0,0,Los Angeles Aviators2016  
Corbet H,8,220.75,43,21,121,34,84,83,73,9,10,3,5.36566666667,0,0,0,6,2,0,0,Los Angeles Aviators2016  
Lai A,12,323.216666667,182,122,20,7,359,358,277,8,9,3,6.68266666667,0,0,0,16,1,1,0,Los Angeles Aviators2016  
Anonymous,11,112.383333333,29,17,56,7,61,71,51,5,5,19,5.49073333333,0,0,0,11,1,0,0,Los Angeles Aviators2016  
Forbes J,7,127.783333333,82,53,7,3,176,177,131,0,4,0,0,0,0,0,12,1,0,1,Los Angeles Aviators2016  
Oettin D,12,236.816666667,69,37,102,28,176,211,145,2,11,88,6.9274057971,0,0,0,18,3,4,1,Los Angeles Aviators2016  
Pebley A,7,150.583333333,19,7,89,28,40,34,33,7,4,0,0,0,0,0,2,0,0,0,Los Angeles Aviators2016  
Nguyen B,13,345.65,188,124,34,11,175,145,145,28,13,0,0,0,0,0,11,3,0,0,Los Angeles Aviators2016  
Evans S,14,370.883333333,47,18,219,69,57,28,28,29,2,0,0,0,0,0,3,0,0,0,Los Angeles Aviators2016  
Smeltzer,7,52.5333333333,7,4,47,12,37,47,31,3,1,9,5.48257142857,0,0,0,5,0,1,0,Los Angeles Aviators2016  
Chiles I,9,188.7,22,13,110,33,59,56,52,7,5,0,0,0,0,0,3,1,0,0,Los Angeles Aviators2016  
Husak G,4,67.1,16,14,31,8,49,47,44,3,4,1,5.95,0,0,0,6,1,0,0,Los Angeles Aviators2016  
Johns C,1,3.8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Los Angeles Aviators2016  
Lissne E,8,207.933333333,131,95,9,3,237,221,209,17,22,0,0,0,0,1,20,2,0,0,Los Angeles Aviators2016  
